Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
1633,"Dnyanshree Institute of Engineering & Technology - [DIET], Satara","Satara, Maharashtra","₹ 70,000",8.3 / 10,,,,137604
1634,"Girijabai Sail Institute of Technology - [GSIT], Karwar","Karwar, Karnataka","₹ 75,000",08-Oct,,400000,,100507
1635,"Government Engineering College, Palanpur","Palanpur, Gujarat","₹ 1,500",7.4 / 10,,,,88511
1636,"Guru Nanak Dev University Regional Campus, Gurdaspur","Gurdaspur, Punjab","₹ 1,30,945",6.7 / 10,,450000,1400000,149420
1637,"Gwalior Institute of Information Technology - [GIIT], Gwalior","Gwalior, Madhya Pradesh","₹ 45,600",6.8 / 10,,400000,,17187
1638,"Tawi Engineering College - [TEC], Pathankot","Pathankot, Punjab","₹ 80,750",6.8 / 10,,,,53949
1639,"Trident Group of Institutions, Ghaziabad","Ghaziabad, Uttar Pradesh","₹ 85,150",8.2 / 10,,350000,,66198
1640,"Venus International College of Technology - [VICT], Gandhinagar","Gandhinagar, Gujarat","₹ 71,000",6.4 / 10,,,,115856
1641,"Yashoda Technical Campus - [YTC], Satara","Satara, Maharashtra","₹ 70,000",7.8 / 10,,145000,900000,68421
1642,"Mahavir Institute of Engineering and Technology, Bhubaneswar","Bhubaneswar, Orissa","₹ 68,000",2.1 / 10,,,,82001
1643,"Manoharbhai Patel Institute of Engineering and Technology - [MPIET], Bhandara","Bhandara, Maharashtra","₹ 58,198",7.4 / 10,,400000,,176864
1644,"Shri Chhatrapati Shivaji Maharaj College of Engineering - [SCOEA] Nepti, Ahmednagar","Ahmednagar, Maharashtra","₹ 70,000",7.4 / 10,,,,167939
1645,"Shreenivasa Engineering College, Pappiredipatti","Pappiredipatti, Tamil Nadu","₹ 29,220",6.3 / 10,,360000,,94656
1646,"Star Lion College of Engineering and Technology - [SLCET], Thanjavur","Thanjavur, Tamil Nadu","₹ 55,000",7.9 / 10,,,,170470
1647,"Ramchandra Chandarvansi Institute of Technology - [RCIT], Palamu","Palamu, Jharkhand","₹ 60,000",7.7 / 10,,400000,,87128
1648,"Biluru Gurubasava Mahaswamiji Institute of Technology - [BGMIT], Bagalkot","Bagalkot, Karnataka","₹ 65,000",08-Oct,,,,26121
1649,"Maharishi Arvind College of Engineering & Technology - [MACET], Kota","Kota, Rajasthan","₹ 77,000",7.1 / 10,,,,9606
1650,"MIT School of Bioengineering Sciences and Research - [MITSBSR], Pune","Pune, Maharashtra","₹ 2,76,500",8.8 / 10,,300000,,10144
1651,"Aurora Group of Institutions, Hyderabad","Hyderabad, Telangana","₹ 37,400",7.2 / 10,,,,22138
