Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
465,"Rajasthan Institute of Engineering and Technology - [RIET], Jaipur","Jaipur, Rajasthan",85000,7.4,800000,7000000,32477
466,"Rajshree Institute of Management and Technology - [RIMT], Bareilly","Bareilly, Uttar Pradesh",51400,7.7,1500000,2300000,24666
467,"SSM College of Engineering - [SSMCE], Namakkal","Namakkal, Tamil Nadu",30000,7.9,541800,3700000,57475
468,"Sam College of Engineering and Technology - [SAMCET], Bhopal","Bhopal, Madhya Pradesh",55000,6.9,400000,6300000,149376
469,"Sanghvi Institute of Management and Science - [SIMS], Indore","Indore, Madhya Pradesh",40000,6.1,350000,1000000,72592
470,"Sarvajanik College of Engineering and Technology - [SCET], Surat","Surat, Gujarat",118000,7.6,541800,750000,42069
471,"Seacom Engineering College, Howrah","Howrah, West Bengal",250000,7.5,541800,3700000,179315
472,"Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT], Yamuna Nagar","Yamuna Nagar, Haryana",95790,7.3,260000,526000,35429
473,"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai","Mumbai, Maharashtra",133263,7.2,250000,2400000,146642
474,"Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam, Hyderabad","Hyderabad, Telangana",93000,7.3,700000,1200000,75616
475,"Sri Krishna Institute of Technology - [SKIT], Bangalore","Bangalore, Karnataka",45000,7.453557199772339,541800,1225000,38280
476,"Sriram Engineering College - [SEC], Thiruvallur","Thiruvallur, Tamil Nadu",67700,7.1,250000,2600000,36717
477,"St. Thomas College of Engineering and Technology- [STC], Chengannur","Chengannur, Kerala",58150,8.2,541800,3700000,106272
478,"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata","Kolkata, West Bengal",99000,7.3,550000,4200000,58927
479,"Techno International New Town - [TINT], Kolkata","Kolkata, West Bengal",144800,7.4,820000,3200000,146879
480,"Theem College of Engineering - [TCOE], Palghar","Palghar, Maharashtra",64000,6.3,150000,300000,65361
481,"Xavier Institute of Engineering - [XIE], Mumbai","Mumbai, Maharashtra",157499,7.1,300000,408000,169111
482,"Velammal Institute of Technology - [VI-Tech], Thiruvallur","Thiruvallur, Tamil Nadu",91150,7.5,720000,1280000,51759
483,"Vignan's Institute of Information Technology - [VIIT], Visakhapatnam","Visakhapatnam, Andhra Pradesh",52000,7.6,900000,3600000,84041
484,"Knowledge Institute of Technology - [KIOT], Salem","Salem, Tamil Nadu",50000,8.7,303000,1850000,55051
485,"Vasireddy Venkatadri Institute of Technology - [VVIT], Guntur","Guntur, Andhra Pradesh",55000,8.7,750000,1800000,37279
486,"Rai University - [RU], Ahmedabad","Ahmedabad, Gujarat",71600,7.6,420000,720000,196196
487,"Sushant University / Ansal University, Gurgaon","Gurgaon, Haryana",202540,7.8,541800,2417680,117737
488,"Islamic University of Science and Technology - [IUST], Pulwama","Pulwama, Jammu and Kashmir",66200,7.4,400000,890000,29323
489,"William Carey University - [WCU], Shillong","Shillong, Meghalaya",81000,8.5,541800,1200000,36240
490,"Career Point University - [CPU], Kota","Kota, Rajasthan",140000,7.9,223000,1250000,147500
491,"SRMIST Delhi NCR Campus, Ghaziabad","Ghaziabad, Uttar Pradesh",221000,7.7,1000000,1000000,120950
492,"University Institute of Engineering and Technology, Maharshi Dayanand University - [UIET], Rohtak","Rohtak, Haryana",74288,7.4,541800,800000,35012
493,"Parala Maharaja Engineering College - [PMEC], Berhampur","Berhampur, Orissa",33400,7.4,300000,600000,67984
